AGEP,SCHL,MAR,SEX,DIS,ESP,MIG,CIT,MIL,ANC,NATIVITY,RELP,DEAR,DEYE,DREM,RAC1P,GCL,ESR
61,16.0,3,1,2,-99999.0,1.0,1,4.0,1,1,16,2,2,2.0,1,2.0,6.0
57,17.0,3,1,1,-99999.0,3.0,1,4.0,1,1,16,2,2,1.0,1,2.0,6.0
18,19.0,5,2,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,6.0
28,14.0,3,1,1,-99999.0,1.0,1,2.0,1,1,16,2,2,1.0,1,-99999.0,6.0
18,16.0,5,2,1,-99999.0,3.0,1,4.0,2,1,17,2,1,2.0,9,-99999.0,6.0
84,17.0,5,2,1,-99999.0,3.0,1,4.0,4,1,16,2,1,1.0,1,2.0,6.0
77,16.0,3,1,1,-99999.0,1.0,1,2.0,1,1,16,2,2,1.0,1,2.0,6.0
24,20.0,1,2,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,1.0
54,17.0,2,2,1,-99999.0,1.0,1,4.0,1,1,16,1,1,2.0,3,2.0,6.0
17,13.0,5,2,1,-99999.0,3.0,1,4.0,4,1,16,2,2,1.0,1,-99999.0,6.0
25,19.0,5,1,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,6.0
55,19.0,1,1,2,-99999.0,1.0,1,2.0,1,1,17,2,2,2.0,1,2.0,6.0
68,16.0,5,2,1,-99999.0,1.0,1,4.0,1,1,16,2,2,1.0,3,2.0,6.0
39,17.0,5,1,2,-99999.0,3.0,1,4.0,2,1,16,2,2,2.0,1,2.0,6.0
24,20.0,1,2,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,1.0
21,19.0,5,2,2,-99999.0,1.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,1.0
94,16.0,3,1,1,-99999.0,1.0,1,2.0,4,1,16,1,2,1.0,1,2.0,6.0
40,14.0,5,1,1,-99999.0,1.0,1,4.0,1,1,16,2,2,1.0,5,2.0,6.0
21,17.0,5,1,1,-99999.0,3.0,1,4.0,1,1,16,2,1,1.0,1,-99999.0,6.0
57,18.0,4,1,1,-99999.0,1.0,1,4.0,1,1,16,2,2,1.0,3,2.0,6.0
79,16.0,1,1,1,-99999.0,1.0,1,2.0,2,1,16,2,2,2.0,1,2.0,6.0
29,21.0,5,1,2,-99999.0,1.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,1.0
20,19.0,5,1,2,-99999.0,1.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,1.0
19,19.0,5,1,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,6.0
29,7.0,5,1,2,-99999.0,1.0,1,2.0,1,1,16,2,2,2.0,1,-99999.0,6.0
26,16.0,5,2,1,-99999.0,3.0,1,4.0,1,1,17,2,2,1.0,1,-99999.0,6.0
21,19.0,5,2,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,1.0
29,7.0,5,1,2,-99999.0,1.0,1,2.0,1,1,16,2,2,2.0,1,-99999.0,6.0
37,14.0,3,1,1,-99999.0,1.0,1,4.0,1,1,16,2,2,1.0,1,2.0,6.0
20,19.0,5,2,2,-99999.0,1.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,1.0
34,16.0,5,1,2,-99999.0,3.0,1,4.0,1,1,16,2,2,2.0,3,2.0,6.0
18,18.0,5,2,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,6.0
80,12.0,2,1,1,-99999.0,1.0,1,4.0,4,1,16,1,2,2.0,1,2.0,6.0
94,19.0,2,2,1,-99999.0,1.0,1,4.0,1,1,16,1,2,1.0,1,2.0,6.0
19,18.0,5,2,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,1.0
70,16.0,5,2,1,-99999.0,1.0,1,4.0,2,1,16,2,2,1.0,1,2.0,6.0
57,19.0,3,2,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,4,2.0,6.0
17,19.0,5,1,2,-99999.0,1.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,1.0
67,16.0,5,2,1,-99999.0,1.0,1,4.0,2,1,16,2,2,2.0,1,2.0,6.0
18,19.0,5,2,2,-99999.0,3.0,1,4.0,4,1,17,2,2,2.0,1,-99999.0,6.0
51,16.0,1,1,2,-99999.0,3.0,1,4.0,1,1,16,2,2,2.0,7,2.0,6.0
50,13.0,5,2,1,-99999.0,3.0,1,4.0,1,1,17,2,2,1.0,3,2.0,1.0
80,20.0,2,2,1,-99999.0,1.0,1,4.0,1,1,16,2,2,1.0,1,2.0,6.0
94,16.0,2,2,1,-99999.0,1.0,1,4.0,4,1,16,1,1,1.0,1,2.0,6.0
24,11.0,5,2,2,-99999.0,3.0,1,4.0,1,1,16,2,2,2.0,3,-99999.0,6.0
83,21.0,1,1,1,-99999.0,3.0,1,2.0,1,1,16,2,2,2.0,3,2.0,6.0
56,11.0,5,2,1,-99999.0,1.0,1,4.0,4,1,17,2,2,1.0,1,2.0,1.0
17,19.0,5,2,2,-99999.0,1.0,1,4.0,1,1,16,2,2,2.0,3,-99999.0,6.0
21,19.0,5,2,2,-99999.0,1.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,1.0
85,11.0,5,2,1,-99999.0,3.0,1,4.0,4,1,16,2,2,1.0,1,2.0,6.0
85,16.0,1,2,1,-99999.0,1.0,1,4.0,1,1,16,2,2,1.0,1,2.0,6.0
21,14.0,5,1,2,-99999.0,1.0,1,4.0,1,1,16,2,2,2.0,3,-99999.0,6.0
18,19.0,5,1,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,6.0
18,16.0,5,2,1,-99999.0,3.0,1,4.0,1,1,17,2,2,1.0,1,-99999.0,1.0
18,16.0,5,1,2,-99999.0,3.0,1,4.0,4,1,17,2,2,2.0,1,-99999.0,6.0
13,9.0,5,2,2,-99999.0,3.0,1,-99999.0,4,1,16,2,2,2.0,1,-99999.0,-99999.0
21,19.0,5,1,2,-99999.0,1.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,1.0
53,14.0,4,1,2,-99999.0,3.0,1,4.0,1,1,16,2,2,2.0,1,2.0,6.0
14,11.0,5,2,1,-99999.0,3.0,1,-99999.0,1,1,16,2,2,1.0,5,-99999.0,-99999.0
17,19.0,5,2,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,1.0
58,21.0,5,2,2,-99999.0,1.0,1,3.0,4,1,17,2,2,2.0,1,2.0,2.0
21,19.0,5,1,2,-99999.0,2.0,5,4.0,1,2,17,2,2,2.0,1,-99999.0,6.0
31,16.0,5,1,1,-99999.0,1.0,1,4.0,4,1,17,2,2,1.0,1,2.0,1.0
20,19.0,5,2,2,-99999.0,3.0,1,4.0,4,1,17,2,2,2.0,1,-99999.0,6.0
14,11.0,5,2,2,-99999.0,3.0,1,-99999.0,4,1,16,2,2,2.0,1,-99999.0,-99999.0
42,20.0,5,1,2,-99999.0,3.0,1,4.0,1,1,16,2,2,2.0,3,2.0,6.0
19,19.0,5,2,2,-99999.0,1.0,1,4.0,4,1,17,2,2,2.0,1,-99999.0,6.0
67,16.0,5,2,1,-99999.0,1.0,1,4.0,2,1,16,2,2,2.0,1,2.0,6.0
19,19.0,5,2,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,6.0
19,19.0,5,1,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,6.0
58,21.0,5,2,2,-99999.0,1.0,1,3.0,4,1,17,2,2,2.0,1,2.0,2.0
89,21.0,3,1,1,-99999.0,1.0,1,2.0,1,1,16,1,2,1.0,1,2.0,6.0
40,19.0,3,2,1,-99999.0,1.0,1,4.0,1,1,17,2,2,1.0,1,2.0,3.0
19,19.0,5,1,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,6.0
22,19.0,5,1,1,-99999.0,1.0,1,4.0,4,1,17,2,2,1.0,1,-99999.0,1.0
19,19.0,5,1,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,6.0
22,19.0,5,1,1,-99999.0,1.0,1,4.0,4,1,17,2,2,1.0,1,-99999.0,1.0
87,14.0,2,2,1,-99999.0,1.0,1,4.0,4,1,16,1,1,1.0,1,2.0,6.0
18,19.0,5,2,2,-99999.0,3.0,1,4.0,4,1,17,2,2,2.0,1,-99999.0,6.0
19,19.0,5,1,2,-99999.0,1.0,1,4.0,2,1,17,2,2,2.0,9,-99999.0,6.0
16,19.0,5,2,1,-99999.0,1.0,1,-99999.0,1,1,17,2,2,1.0,3,-99999.0,6.0
63,11.0,2,1,1,-99999.0,1.0,1,2.0,2,1,16,2,2,1.0,1,2.0,6.0
17,13.0,5,2,1,-99999.0,3.0,1,4.0,4,1,16,2,2,1.0,1,-99999.0,6.0
55,16.0,5,1,2,-99999.0,1.0,1,4.0,2,1,16,2,2,2.0,8,2.0,6.0
24,20.0,1,2,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,1.0
46,19.0,3,1,1,-99999.0,3.0,1,4.0,2,1,16,2,2,2.0,9,2.0,6.0
14,11.0,5,2,2,-99999.0,3.0,1,-99999.0,4,1,16,2,2,2.0,1,-99999.0,-99999.0
75,16.0,2,2,1,-99999.0,1.0,1,4.0,1,1,16,2,2,2.0,1,2.0,6.0
17,19.0,5,1,2,-99999.0,1.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,1.0
32,19.0,4,1,2,-99999.0,1.0,1,4.0,2,1,16,2,2,2.0,1,2.0,6.0
21,14.0,5,1,2,-99999.0,1.0,1,4.0,1,1,16,2,2,2.0,3,-99999.0,6.0
87,16.0,1,1,1,-99999.0,1.0,1,4.0,1,1,16,1,2,1.0,1,2.0,6.0
63,21.0,3,1,1,-99999.0,1.0,1,4.0,4,1,16,2,2,2.0,1,2.0,6.0
18,16.0,5,1,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,6.0
